perplexity,chain,chain_earlystop,normal,normal_earlystop
33,1.4697964191436768,0.11612987518310547,1.3615937232971191,0.5246315002441406
34,1.3696324825286865,0.11937165260314941,1.4300568103790283,0.5077602863311768
35,1.377495527267456,0.11818695068359375,1.399113416671753,0.540297269821167
36,1.4208850860595703,0.10547113418579102,1.4701554775238037,0.5336487293243408
37,1.3854293823242188,0.09599518775939941,1.4305787086486816,0.5467946529388428
38,1.4322166442871094,0.09470248222351074,1.461810827255249,0.5450272560119629
39,1.4021670818328857,0.09416651725769043,1.453394889831543,0.5299992561340332
40,1.3851823806762695,0.0958702564239502,1.4736084938049316,0.5517010688781738
41,1.4055273532867432,0.09866523742675781,1.492361068725586,0.5689630508422852
42,1.4012770652770996,0.0977170467376709,1.4933841228485107,0.6296453475952148
43,1.442406415939331,0.10052871704101562,1.5085132122039795,0.559699535369873
44,1.440093755722046,0.09952831268310547,1.51279878616333,0.6014318466186523
45,1.4449357986450195,0.0887761116027832,1.4557790756225586,0.5863585472106934
46,1.4422390460968018,0.10273480415344238,1.5256526470184326,0.6241781711578369
47,1.4477169513702393,0.09134626388549805,1.5195510387420654,0.5806677341461182
48,1.4793384075164795,0.08935666084289551,1.550222635269165,0.6552636623382568
49,1.4508450031280518,0.09077811241149902,1.5132956504821777,0.5961799621582031
50,1.5168120861053467,0.0,1.5168120861053467,0.5788333415985107
51,1.4880120754241943,0.14712238311767578,1.5726370811462402,0.6411240100860596
52,1.5241010189056396,0.09365034103393555,1.6012458801269531,0.5766839981079102
53,1.4987852573394775,0.09527730941772461,1.5860035419464111,0.6521916389465332
54,1.5455453395843506,0.09439539909362793,1.5086123943328857,0.5856518745422363
55,1.521594762802124,0.09685945510864258,1.5577149391174316,0.6599347591400146
56,1.5097243785858154,0.0976247787475586,1.5565083026885986,0.6388845443725586
57,1.524873971939087,0.09917736053466797,1.5983002185821533,0.5967459678649902
58,1.5386946201324463,0.1004800796508789,1.6002869606018066,0.6316587924957275
59,1.5455031394958496,0.08467268943786621,1.6349091529846191,0.701188325881958
60,1.5538525581359863,0.08797407150268555,1.629526138305664,0.6135478019714355
61,1.6006994247436523,0.0877068042755127,1.6554303169250488,0.6608655452728271
62,1.5923421382904053,0.08898043632507324,1.627828598022461,0.6311781406402588
63,1.7308237552642822,0.10580778121948242,1.660933017730713,0.6513500213623047
64,1.6217145919799805,0.09085798263549805,1.6526720523834229,0.6138365268707275
65,1.5948991775512695,0.0909566879272461,1.6259067058563232,0.6086082458496094
66,1.6390166282653809,0.09287500381469727,1.667163372039795,0.7351346015930176
67,1.6059563159942627,0.0944221019744873,1.7235963344573975,0.6288220882415771
68,1.615459680557251,0.09510183334350586,1.731431245803833,0.7376053333282471
69,1.6591627597808838,0.09580445289611816,1.7207953929901123,0.6730220317840576
70,1.6408207416534424,0.09621500968933105,1.6940081119537354,0.6687662601470947
71,1.6459102630615234,0.0977013111114502,1.720249891281128,0.6231703758239746
72,1.695206880569458,0.09830904006958008,1.7382197380065918,0.6551203727722168
73,1.6762783527374268,0.0995798110961914,1.7439212799072266,0.6474854946136475
74,1.7074859142303467,0.10101747512817383,1.7838199138641357,0.6486783027648926
75,1.684467077255249,0.10261011123657227,1.789736032485962,0.6424767971038818
76,1.7367146015167236,0.1027834415435791,1.7837965488433838,0.6616644859313965
77,1.7363600730895996,0.10307121276855469,1.815821647644043,0.647538423538208
78,1.782135009765625,0.10504484176635742,1.8326833248138428,0.6493403911590576
79,1.731429100036621,0.10662317276000977,1.7892582416534424,0.6786966323852539
80,1.7563457489013672,0.10762214660644531,1.7869658470153809,0.6659934520721436
81,1.7207279205322266,0.10966181755065918,1.7976930141448975,0.6816773414611816
82,1.767768383026123,0.11071109771728516,1.8027973175048828,0.677767276763916
83,1.7438669204711914,0.12843632698059082,1.8262097835540771,0.7942929267883301
84,1.7732183933258057,0.11221027374267578,1.8416645526885986,0.6757407188415527
85,1.7569875717163086,0.13051557540893555,1.8397455215454102,0.7630255222320557
86,1.7852535247802734,0.1318190097808838,1.8942298889160156,0.6802735328674316
87,1.7814934253692627,0.13293981552124023,1.8834283351898193,0.7395026683807373
88,1.7929906845092773,0.134324312210083,1.8898918628692627,0.6910626888275146
89,1.8077702522277832,0.13637614250183105,1.863651990890503,0.705129861831665
90,1.805459976196289,0.1356189250946045,1.908017635345459,0.7114870548248291
91,1.8167636394500732,0.13773894309997559,1.892284870147705,0.7151551246643066
92,1.8785359859466553,0.1374962329864502,1.909433364868164,0.8137562274932861
93,1.8493316173553467,0.13999700546264648,1.9319047927856445,0.7596936225891113
94,1.865941047668457,0.14303898811340332,1.9401624202728271,0.768118143081665
95,1.9332356452941895,0.14736127853393555,1.9359862804412842,0.738231897354126
96,1.879164457321167,0.17593979835510254,1.930443525314331,0.8308899402618408
97,1.9242286682128906,0.1505434513092041,1.8932921886444092,0.7596454620361328
98,1.8782143592834473,0.14705777168273926,1.9304139614105225,1.073056936264038
99,1.8974134922027588,0.14645886421203613,1.9780986309051514,0.7526202201843262
100,1.915088176727295,0.16937661170959473,1.9781606197357178,0.7762510776519775
101,1.9439334869384766,0.16797804832458496,2.010530948638916,0.779369592666626
102,1.9307465553283691,0.17105364799499512,1.956590175628662,0.7797882556915283
103,1.9395554065704346,0.17048382759094238,1.9870367050170898,0.805750846862793
104,1.9649672508239746,0.17338800430297852,1.9905638694763184,0.8595216274261475
105,2.0159573554992676,0.1730480194091797,2.0126113891601562,0.8834073543548584
106,1.9753365516662598,0.1774289608001709,2.042454957962036,0.8122231960296631
107,1.9706239700317383,0.1769418716430664,2.0742132663726807,0.8001453876495361
108,1.9859135150909424,0.17951512336730957,2.0242080688476562,0.8421711921691895
109,2.0199809074401855,0.17938733100891113,2.0207154750823975,0.8262999057769775
110,2.001654863357544,0.17964696884155273,2.0726256370544434,0.8697130680084229
111,2.007605791091919,0.18282842636108398,2.016268014907837,0.825749397277832
112,2.055521011352539,0.18553447723388672,2.01770281791687,0.8860549926757812
113,2.019073724746704,0.18550372123718262,2.0165185928344727,0.8364496231079102
114,2.071845293045044,0.1849362850189209,2.046968698501587,0.8405177593231201
115,2.046515464782715,0.19063949584960938,2.045393705368042,0.885878324508667
116,2.0701873302459717,0.19023776054382324,2.1727144718170166,0.8965051174163818
117,2.0697851181030273,0.21414613723754883,2.0703060626983643,1.0959875583648682
118,2.079822063446045,0.2115175724029541,2.085616111755371,0.9283254146575928
119,2.074979543685913,0.21492600440979004,2.1303555965423584,0.9226784706115723
120,2.099423408508301,0.21805357933044434,2.1603002548217773,0.8828260898590088
121,2.090449810028076,0.24057531356811523,2.0795156955718994,0.8696022033691406
122,2.1311240196228027,0.23973894119262695,2.1057753562927246,0.9321932792663574
123,2.0846965312957764,0.23895001411437988,2.1302874088287354,0.9216108322143555
124,2.0978169441223145,0.2423081398010254,2.1414105892181396,0.9263119697570801
125,2.1073288917541504,0.24632763862609863,2.17571759223938,0.9788663387298584
126,2.094111680984497,0.2473890781402588,2.1499199867248535,0.8785905838012695
127,2.1129813194274902,0.24694442749023438,2.1617016792297363,0.9043395519256592
128,2.1099109649658203,0.25161290168762207,2.1337270736694336,0.9034233093261719
129,2.1521151065826416,0.24969124794006348,2.1535463333129883,0.9518642425537109
130,2.174499034881592,0.25213193893432617,2.2232041358947754,0.9182150363922119
131,2.161391258239746,0.26656365394592285,2.2464232444763184,0.8966813087463379
132,2.201561212539673,0.26979541778564453,2.1741223335266113,0.85809326171875
133,2.15657377243042,0.2645864486694336,2.171072006225586,0.8682718276977539
134,2.2409772872924805,0.25626111030578613,2.242107391357422,0.9106142520904541
135,2.192108154296875,0.2804419994354248,2.25246524810791,0.8765881061553955
136,2.2285211086273193,0.26264309883117676,2.223005771636963,0.9423744678497314
