perplexity,aucrnx_chain,aucrnx_normal,kl_chain_normal,kl_normal_chain,kl_sum,running_time_chain,running_time_normal
24,0.5441157488299604,0.5297600054772637,0.09950999581027732,0.08104374959221719,0.09027687270124726,0.3213005065917969,0.36654138565063477
25,0.5446934244314824,0.5125315174654065,0.14259437827713656,0.11393395792128255,0.12826416809920954,0.33622145652770996,0.38161659240722656
26,0.5458698107698569,0.5282389628421774,0.09228716717635937,0.08104407076541059,0.08666561897088498,0.32835912704467773,0.3977358341217041
27,0.543519372291022,0.5334144388147334,0.08849397901629341,0.07307213035561651,0.08078305468595495,0.3360633850097656,0.392169713973999
28,0.5402350121183993,0.5458294460082261,0.07714800961351045,0.0690406455870079,0.07309432760025918,0.3651416301727295,0.3849458694458008
29,0.5409577857923983,0.5333714182441343,0.12436687723755885,0.10145765651652235,0.11291226687704059,0.34553956985473633,0.41259193420410156
30,0.541478022374059,0.5370041239149081,0.04672245802378365,0.046193104626883,0.046457781325333326,0.34445858001708984,0.43941187858581543
31,0.5416011554384716,0.5315225082749441,0.11313784827844584,0.08756085249476733,0.10034935038660658,0.37719011306762695,0.4186732769012451
32,0.5340946417513509,0.531185806271759,0.06728893567719335,0.05794008312430919,0.06261450940075128,0.34790563583374023,0.427264928817749
33,0.5345649320668721,0.5066847794438583,0.12748609466361643,0.10106507605640211,0.11427558536000927,0.3731803894042969,0.40511441230773926
34,0.5381296744199032,0.5142381281663574,0.08583087529148209,0.0672964431579709,0.0765636592247265,0.4135756492614746,0.39984774589538574
35,0.5356701835477838,0.5275207478679902,0.09748412396928541,0.08759729198217614,0.09254070797573077,0.39287304878234863,0.3929932117462158
36,0.5351805304334161,0.5199667496973971,0.08977170392155992,0.06907050781184738,0.07942110586670365,0.3799581527709961,0.43521881103515625
37,0.5332180934923532,0.5145603467008181,0.13598790351652096,0.11751420365375767,0.12675105358513933,0.3785388469696045,0.47949910163879395
38,0.5327977267892481,0.5172941498408975,0.0817802238728462,0.06858678480558623,0.07518350433921622,0.38408565521240234,0.4214189052581787
39,0.5359547347003144,0.5146964493569084,0.10042681270838413,0.08654637196027264,0.09348659233432838,0.38404154777526855,0.44481849670410156
40,0.5318180239327835,0.5117200012412211,0.10594714895342562,0.08486297968005163,0.09540506431673862,0.35748291015625,0.4457824230194092
41,0.5330114218867849,0.5097525110391652,0.0793880783473872,0.07109443076732279,0.075241254557355,0.41910862922668457,0.41385412216186523
42,0.5286475335506047,0.528928642871837,0.07185118240374261,0.05795205323960135,0.06490161782167198,0.39112257957458496,0.4483327865600586
43,0.5301091588099412,0.5272178614146712,0.05712301549345634,0.05158337891407222,0.054353197203764275,0.40481066703796387,0.4383375644683838
44,0.5314438513408638,0.5135505843354193,0.12476479363906584,0.08734207693299047,0.10605343528602815,0.37379980087280273,0.44235801696777344
45,0.532777131747727,0.5027622031832838,0.12346542842498642,0.10539865137996304,0.11443203990247473,0.4043393135070801,0.45656371116638184
46,0.5311425881383622,0.5230428059299083,0.07207482279678148,0.059276703260796475,0.06567576302878898,0.3695833683013916,0.42942380905151367
47,0.5265959453670486,0.523496693184747,0.060023994045563495,0.05484053457048704,0.05743226430802527,0.39676451683044434,0.4455125331878662
48,0.5298272085353333,0.49802228170253465,0.1934378231840565,0.13583267047850467,0.16463524683128059,0.40068960189819336,0.4157102108001709
49,0.5281707837447793,0.512544228080129,0.09720687735884721,0.08014258437038188,0.08867473086461455,0.3903472423553467,0.4499540328979492
50,0.5231103094464407,0.5263675602215346,0.03320596010919,0.03297751603193435,0.03309173807056218,0.4150242805480957,0.4134347438812256
51,0.524771335074944,0.5182676600898924,0.06628504635297318,0.057454666088060574,0.061869856220516876,0.4307222366333008,0.4476447105407715
52,0.5245103044194922,0.5232569809874029,0.03164128436805616,0.0298889005160896,0.03076509244207288,0.41787075996398926,0.4316399097442627
53,0.5239180479763197,0.48678468144869735,0.12935533815762532,0.10777074936822273,0.11856304376292402,0.38210582733154297,0.4562952518463135
54,0.5249128328881834,0.5193007317185242,0.042386727937866464,0.038686861118509996,0.04053679452818823,0.4107794761657715,0.4578266143798828
55,0.5296182943189094,0.5181575853128069,0.0476292791634204,0.04241625060714711,0.045022764885283756,0.380934476852417,0.4587585926055908
56,0.5261257647290887,0.5118924481770176,0.10590348151924431,0.07006661118136687,0.08798504635030559,0.4031715393066406,0.4525747299194336
57,0.5229508417987964,0.516075794313319,0.047927661929124704,0.04727755353977764,0.04760260773445117,0.37607693672180176,0.44301795959472656
58,0.5222870115413355,0.4939804265531735,0.10229530840780077,0.09168492742880979,0.09699011791830528,0.39220094680786133,0.4892449378967285
59,0.5204895180283359,0.5006217568560826,0.13208217426720484,0.11272231350495644,0.12240224388608065,0.4095191955566406,0.455125093460083
60,0.5172746285038604,0.5141635062332198,0.045402512296978455,0.04470751763406687,0.045055014965522666,0.3825094699859619,0.43111467361450195
61,0.5207724816912354,0.5039499034337902,0.06424430490855877,0.058269212209489905,0.061256758559024335,0.40978097915649414,0.46131086349487305
62,0.5170482805346407,0.5059653449673952,0.06104544415891829,0.05587875706711451,0.058462100613016404,0.4158446788787842,0.4428997039794922
63,0.5112991709537191,0.5091732025579649,0.046472086607111704,0.03946717539889555,0.042969631003003626,0.45149827003479004,0.466829776763916
64,0.5148263825885155,0.5086078647809099,0.036843440242119316,0.034481180215233304,0.03566231022867631,0.43061137199401855,0.44954371452331543
65,0.5092057897115803,0.512733758533105,0.06306038480920244,0.05395572822637804,0.058508056517790244,0.416506290435791,0.4721400737762451
